log_type,timestamp,col3,col4,col5
deployment,2025-09-21T22:20:56.2910567Z,INFO,##[group]Runner Image Provisioner,
deployment,2025-09-21T22:20:56.2911332Z,INFO,Hosted Compute Agent,
deployment,2025-09-21T22:20:56.2912379Z,INFO,Version: 20250829.383,
deployment,2025-09-21T22:20:56.2912994Z,INFO,Commit: 27cb235aab5b0e52e153a26cd86b4742e89dac5d,
deployment,2025-09-21T22:20:56.2913717Z,INFO,Build Date: 2025-08-29T13:48:48Z,
deployment,2025-09-21T22:20:56.2914310Z,INFO,##[endgroup],
deployment,2025-09-21T22:20:56.2914818Z,INFO,##[group]Operating System,
deployment,2025-09-21T22:20:56.2915372Z,INFO,Ubuntu,
deployment,2025-09-21T22:20:56.2915814Z,INFO,24.04.3,
deployment,2025-09-21T22:20:56.2916245Z,INFO,LTS,
deployment,2025-09-21T22:20:56.2916673Z,INFO,##[endgroup],
deployment,2025-09-21T22:20:56.2917145Z,INFO,##[group]Runner Image,
deployment,2025-09-21T22:20:56.2917661Z,INFO,Image: ubuntu-24.04,
deployment,2025-09-21T22:20:56.2918153Z,INFO,Version: 20250907.24.1,
deployment,2025-09-21T22:20:56.2919309Z,INFO,Included Software: https://github.com/actions/runner-images/blob/ubuntu24/20250907.24/images/ubuntu/Ubuntu2404-Readme.md,
deployment,2025-09-21T22:20:56.2921063Z,INFO,Image Release: https://github.com/actions/runner-images/releases/tag/ubuntu24%2F20250907.24,
deployment,2025-09-21T22:20:56.2922317Z,INFO,##[endgroup],
deployment,2025-09-21T22:20:56.2925012Z,INFO,##[group]GITHUB_TOKEN Permissions,
deployment,2025-09-21T22:20:56.2926816Z,INFO,Actions: read,
deployment,2025-09-21T22:20:56.2927327Z,INFO,Attestations: read,
deployment,2025-09-21T22:20:56.2927810Z,INFO,Checks: read,
deployment,2025-09-21T22:20:56.2928261Z,INFO,Contents: read,
deployment,2025-09-21T22:20:56.2928715Z,INFO,Deployments: read,
deployment,2025-09-21T22:20:56.2929182Z,INFO,Discussions: read,
deployment,2025-09-21T22:20:56.2929639Z,INFO,Issues: read,
deployment,2025-09-21T22:20:56.2930069Z,INFO,Metadata: read,
deployment,2025-09-21T22:20:56.2930516Z,INFO,Models: read,
deployment,2025-09-21T22:20:56.2930968Z,INFO,Packages: read,
deployment,2025-09-21T22:20:56.2931411Z,INFO,Pages: read,
deployment,2025-09-21T22:20:56.2932033Z,INFO,PullRequests: read,
deployment,2025-09-21T22:20:56.2932517Z,INFO,RepositoryProjects: read,
deployment,2025-09-21T22:20:56.2933042Z,INFO,SecurityEvents: read,
